,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__kernel,param_model__gamma,param_model__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.05109672546386719,0.004079949932833098,0.021503305435180663,0.0020969660156360606,0.1,linear,,,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.953125,0.9635416666666666,1.0,1.0,0.9162303664921466,0.9665794066317627,0.03149332274327105,7
1,0.048398303985595706,0.0015949784645445965,0.023501491546630858,0.003329850490020071,1,linear,,,"{'model__C': 1, 'model__kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9162303664921466,0.9832460732984293,0.03350785340314135,1
2,0.04259934425354004,0.012434345694546774,0.022000694274902345,0.005726138976777594,10,linear,,,"{'model__C': 10, 'model__kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9162303664921466,0.9832460732984293,0.03350785340314135,1
3,0.055498695373535155,0.0040629576223775036,0.01869931221008301,0.0012480389086015932,100,linear,,,"{'model__C': 100, 'model__kernel': 'linear'}",0.4114583333333333,1.0,1.0,1.0,0.9162303664921466,0.8655377399650959,0.22934609132590297,10
4,0.16359829902648926,0.050914596779299,0.020899248123168946,0.0028005069280970336,1000,linear,,,"{'model__C': 1000, 'model__kernel': 'linear'}",0.453125,1.0,0.8958333333333334,1.0,0.9162303664921466,0.8530377399650961,0.2044264083696873,11
5,0.06009969711303711,0.0076897366408134205,0.036301612854003906,0.003341912435738492,0.1,rbf,0.001,,"{'model__C': 0.1, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,17
6,0.05390176773071289,0.0027634565292978526,0.03400063514709473,0.0017029145775916824,0.1,rbf,0.0001,,"{'model__C': 0.1, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,17
7,0.05740175247192383,0.002332874243434192,0.03489999771118164,0.0031057972790064607,1,rbf,0.001,,"{'model__C': 1, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,17
8,0.06340231895446777,0.0037731169274308612,0.03579797744750977,0.0020389786748866135,1,rbf,0.0001,,"{'model__C': 1, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,17
9,0.06480093002319336,0.004501294653542371,0.03629846572875976,0.0005079136679115181,10,rbf,0.001,,"{'model__C': 10, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.5989583333333334,0.7083333333333334,0.7708333333333334,0.6858638743455497,0.7329842931937173,0.6993946335078534,0.05758851493378132,13
10,0.063297700881958,0.0042610075672188654,0.03650236129760742,0.004278520997206986,10,rbf,0.0001,,"{'model__C': 10, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,17
11,0.10229873657226562,0.016487879967496923,0.03469991683959961,0.007809145999271474,100,rbf,0.001,,"{'model__C': 100, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",1.0,1.0,1.0,1.0,0.9162303664921466,0.9832460732984293,0.03350785340314135,1
12,0.05959873199462891,0.004596384233772396,0.0384005069732666,0.004972588524055273,100,rbf,0.0001,,"{'model__C': 100, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.5989583333333334,0.7083333333333334,0.78125,0.680628272251309,0.7329842931937173,0.7004308464223387,0.06056851432465967,12
13,0.22860112190246581,0.08744904983479763,0.02799983024597168,0.006494804727325335,1000,rbf,0.001,,"{'model__C': 1000, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",1.0,1.0,1.0,1.0,0.9162303664921466,0.9832460732984293,0.03350785340314135,1
14,0.19860100746154785,0.02956891544225365,0.03280086517333984,0.0015703813111072019,1000,rbf,0.0001,,"{'model__C': 1000, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",1.0,1.0,1.0,1.0,0.9162303664921466,0.9832460732984293,0.03350785340314135,1
15,0.05779714584350586,0.004884360881888843,0.024001550674438477,0.0026645687595795915,0.1,sigmoid,0.001,,"{'model__C': 0.1, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,17
16,0.057200145721435544,0.0035567192290271014,0.025899505615234374,0.0066590937506650575,0.1,sigmoid,0.0001,,"{'model__C': 0.1, 'model__gamma': 0.0001, 'model__kernel': 'sigmoid'}",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,17
17,0.05850100517272949,0.005429772163546885,0.02720036506652832,0.004883942048731701,1,sigmoid,0.001,,"{'model__C': 1, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,17
