,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__degree,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,10.759447264671326,0.16084138281061583,2.5740001678466795,0.04451337878691054,1.535407655009384,4,0.12434359804382283,rbf,"OrderedDict([('model__C', 1.535407655009384), ('model__degree', 4), ('model__gamma', 0.12434359804382283), ('model__kernel', 'rbf')])",0.47604454917560246,0.5471110054191168,0.31820916926092474,0.4864738268188632,0.4446900582266805,0.4018631817133632,0.08061296552519313,0.4197829708676663,0.6364248727993156,0.36970417398352023,0.4180916773790246,0.14125631675012648,45
1,66.70636405944825,27.563932722324687,0.4880460023880005,0.10697651270267769,13.397443069150453,4,10.888578629021776,poly,"OrderedDict([('model__C', 13.397443069150453), ('model__degree', 4), ('model__gamma', 10.888578629021776), ('model__kernel', 'poly')])",0.3728705465236942,0.6843670731004265,0.35099950997348095,0.5640709673699988,0.2941276086705869,0.21686375821515047,0.14696832122679582,0.2692458012517448,0.4793390067089919,0.27012292313926783,0.36489755161801385,0.1573630901372752,49
2,8.707392835617066,0.18536661230792342,0.7272680282592774,0.038633178156810805,0.025330900622803465,2,4.455087754075677,poly,"OrderedDict([('model__C', 0.025330900622803465), ('model__degree', 2), ('model__gamma', 4.455087754075677), ('model__kernel', 'poly')])",0.48109074138129826,0.5427710279026865,0.3351349014181944,0.48274638245128554,0.44655468119451175,0.41771337772397094,0.07203389830508475,0.4367994956999415,0.6322193705254627,0.346142554820118,0.4193206431422555,0.14230403238820977,43
3,8.164450573921204,0.1400316940535584,0.7704982280731201,0.05028712442126563,1.154553797676506,4,0.012085205613913678,poly,"OrderedDict([('model__C', 1.154553797676506), ('model__degree', 4), ('model__gamma', 0.012085205613913678), ('model__kernel', 'poly')])",0.6045035598985357,0.526205609362389,0.2802357171682232,0.45353395595526347,0.6847021647642108,0.6440209558399631,0.057385348207079453,0.5284992570579494,0.5902075735062362,0.8168364176685128,0.5186130559428362,0.2046211835659023,20
4,10.251367378234864,0.1864005578176271,2.822093057632446,0.027500472062424813,0.02031649773634455,5,0.011412415703962458,rbf,"OrderedDict([('model__C', 0.02031649773634455), ('model__degree', 5), ('model__gamma', 0.011412415703962458), ('model__kernel', 'rbf')])",0.6136735414504786,0.5429800098005304,0.29875944021676465,0.48402009108728233,0.4449422777585611,0.7098088175948346,0.07021611610745992,0.5384970057184024,0.6563951551172948,0.5939898239452475,0.49532822787968567,0.17940029311097933,28
5,8.124185872077941,0.3040149788220179,0.6762174844741822,0.0836822442039577,0.004651646246903571,4,0.0034413291131518507,linear,"OrderedDict([('model__C', 0.004651646246903571), ('model__degree', 4), ('model__gamma', 0.0034413291131518507), ('model__kernel', 'linear')])",0.4596124466735847,0.5485162285253085,0.29619400726392253,0.4789378675198893,0.5041544160036896,0.6063465640493485,0.0686955926438372,0.428228195776487,0.6584555810707371,0.3703399522716016,0.44194808517984063,0.16021443772147062,37
6,8.15563144683838,0.16536474684489616,0.7457216501235961,0.060582108572289274,0.010061082149649736,3,0.4225110180257347,linear,"OrderedDict([('model__C', 0.010061082149649736), ('model__degree', 3), ('model__gamma', 0.4225110180257347), ('model__kernel', 'linear')])",0.46141761789461544,0.5488459154848381,0.29928009339328954,0.49455746281563473,0.5049759310503863,0.43240696702409775,0.08033372247203965,0.47287315952992026,0.6386023684092035,0.3705038497906254,0.4303797087864651,0.1459972169986698,40
7,10.07453520298004,0.29030961592056176,0.840296745300293,0.06567357407667489,0.5389759519183273,3,0.018636617017009742,sigmoid,"OrderedDict([('model__C', 0.5389759519183273), ('model__degree', 3), ('model__gamma', 0.018636617017009742), ('model__kernel', 'sigmoid')])",0.46293814135823824,0.5490080566124754,0.3020274847227027,0.4947916666666667,0.5049128761674162,0.4801359102963219,0.08046343537414966,0.45625287045792245,0.6371380971678149,0.3692647125039399,0.43369332513276476,0.14603831521400892,39
8,10.872352814674377,0.2856734878114479,2.5390146732330323,0.07010548255315231,2.338936533962385,3,0.004145417056321005,rbf,"OrderedDict([('model__C', 2.338936533962385), ('model__degree', 3), ('model__gamma', 0.004145417056321005), ('model__kernel', 'rbf')])",0.4645793698835466,0.5491107459933126,0.3117451429724432,0.4861477429955033,0.45311238902340595,0.42825795572466274,0.08080393174218839,0.43551353055067765,0.6339159800081049,0.36523391417893647,0.42084207030727827,0.1414083057142954,42
9,8.567053198814392,0.37864784007642627,0.6431311130523681,0.0783238624607311,4.706339113205578,3,2.4967909705632887,poly,"OrderedDict([('model__C', 4.706339113205578), ('model__degree', 3), ('model__gamma', 2.4967909705632887), ('model__kernel', 'poly')])",0.4363542026980284,0.49570686325377605,0.3544927504900266,0.5044859045313039,0.3608090481955494,0.24276490257119798,0.13070376455667013,0.3285785042100049,0.5980944662073934,0.3549948219190418,0.38069852286329925,0.12841003005314358,47
10,8.495201969146729,0.29225635513401743,0.6745057344436646,0.07937213541124304,27.835157315101643,5,0.013209114269692757,linear,"OrderedDict([('model__C', 27.835157315101643), ('model__degree', 5), ('model__gamma', 0.013209114269692757), ('model__kernel', 'linear')])",0.47738491583073905,0.5425836648218609,0.3373508301625735,0.49681843076213533,0.44380728986509854,0.39055293727660556,0.130238959990776,0.4251951911387275,0.6282317979197624,0.3694250078796884,0.42415890256479666,0.1273654009866946,41
