,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__ccp_alpha,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.01910123825073242,0.0012817066921729527,0.011999034881591797,0.00031673437943446973,0.8798293186287729,3,31,42,"OrderedDict([('model__ccp_alpha', 0.8798293186287729), ('model__max_depth', 3), ('model__min_samples_leaf', 31), ('model__min_samples_split', 42)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
1,0.018698930740356445,0.001029225319893604,0.01350102424621582,0.000633919172576438,0.42127941418832515,22,31,58,"OrderedDict([('model__ccp_alpha', 0.42127941418832515), ('model__max_depth', 22), ('model__min_samples_leaf', 31), ('model__min_samples_split', 58)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
2,0.020699119567871092,0.0006786370089737923,0.012801694869995116,0.0007466843807248503,0.3489697982648135,21,21,51,"OrderedDict([('model__ccp_alpha', 0.3489697982648135), ('model__max_depth', 21), ('model__min_samples_leaf', 21), ('model__min_samples_split', 51)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
3,0.019998598098754882,0.0010490743393603698,0.013200807571411132,0.0006773132935410856,0.7586069608845284,3,20,50,"OrderedDict([('model__ccp_alpha', 0.7586069608845284), ('model__max_depth', 3), ('model__min_samples_leaf', 20), ('model__min_samples_split', 50)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
4,0.018997907638549805,0.0010955622246878673,0.012399911880493164,0.000582865094741648,0.8270008707155735,11,36,57,"OrderedDict([('model__ccp_alpha', 0.8270008707155735), ('model__max_depth', 11), ('model__min_samples_leaf', 36), ('model__min_samples_split', 57)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
5,0.01869964599609375,0.0016913495871531525,0.012899208068847656,0.0007353329208566377,0.8005392171612947,18,43,27,"OrderedDict([('model__ccp_alpha', 0.8005392171612947), ('model__max_depth', 18), ('model__min_samples_leaf', 43), ('model__min_samples_split', 27)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
6,0.019000768661499023,0.001377908209985896,0.01219925880432129,0.0004003881710710719,0.6773596194969151,10,41,59,"OrderedDict([('model__ccp_alpha', 0.6773596194969151), ('model__max_depth', 10), ('model__min_samples_leaf', 41), ('model__min_samples_split', 59)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
7,0.020999622344970704,0.0005474219005021873,0.014098691940307616,0.0005821216309511883,0.3255802227330052,6,23,58,"OrderedDict([('model__ccp_alpha', 0.3255802227330052), ('model__max_depth', 6), ('model__min_samples_leaf', 23), ('model__min_samples_split', 58)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
8,0.01969771385192871,0.00040106229979113304,0.01269984245300293,0.0006778892531991894,0.5561865997723259,17,15,38,"OrderedDict([('model__ccp_alpha', 0.5561865997723259), ('model__max_depth', 17), ('model__min_samples_leaf', 15), ('model__min_samples_split', 38)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
9,0.021798467636108397,0.000811536395144179,0.013500642776489259,0.0005492545298323943,0.2593274045288387,20,13,3,"OrderedDict([('model__ccp_alpha', 0.2593274045288387), ('model__max_depth', 20), ('model__min_samples_leaf', 13), ('model__min_samples_split', 3)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
10,0.02159905433654785,0.0010206994368993421,0.014100074768066406,0.00019956327241768223,0.09306115915394354,13,28,39,"OrderedDict([('model__ccp_alpha', 0.09306115915394354), ('model__max_depth', 13), ('model__min_samples_leaf', 28), ('model__min_samples_split', 39)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
11,0.02140188217163086,0.0003747400397839356,0.013899898529052735,0.00020079717475039965,0.46392736810750923,4,35,39,"OrderedDict([('model__ccp_alpha', 0.46392736810750923), ('model__max_depth', 4), ('model__min_samples_leaf', 35), ('model__min_samples_split', 39)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
12,0.020700740814208984,0.00024621930736638446,0.014099979400634765,0.00020127525206284615,0.3750914575709966,6,35,32,"OrderedDict([('model__ccp_alpha', 0.3750914575709966), ('model__max_depth', 6), ('model__min_samples_leaf', 35), ('model__min_samples_split', 32)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
13,0.022300100326538085,0.0005097435744941303,0.013596868515014649,0.0004903013845487173,0.2097897200204561,18,30,44,"OrderedDict([('model__ccp_alpha', 0.2097897200204561), ('model__max_depth', 18), ('model__min_samples_leaf', 30), ('model__min_samples_split', 44)])",0.65625,0.6510416666666666,0.6510416666666666,0.6544502617801047,0.6544502617801047,0.6534467713787085,0.0020708034202399994,2
