,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__kernel,param_model__gamma,param_model__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.024998855590820313,0.0005489889881093072,0.020599555969238282,0.002745990090856676,0.1,linear,,,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
1,0.029099416732788087,0.004066027311979103,0.022599411010742188,0.004419960736210598,1,linear,,,"{'model__C': 1, 'model__kernel': 'linear'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
2,0.032698202133178714,0.006248966399315274,0.02000088691711426,0.005058651071644779,10,linear,,,"{'model__C': 10, 'model__kernel': 'linear'}",0.76,0.76,0.7533333333333333,0.7651006711409396,0.7651006711409396,0.7607069351230425,0.004335420401287919,62
3,0.04309697151184082,0.007102489300804994,0.021801471710205078,0.0035725470561000106,100,linear,,,"{'model__C': 100, 'model__kernel': 'linear'}",0.76,0.76,0.7533333333333333,0.7651006711409396,0.7651006711409396,0.7607069351230425,0.004335420401287919,62
4,0.1503997802734375,0.0680420508021507,0.018598651885986327,0.0015952394360592129,1000,linear,,,"{'model__C': 1000, 'model__kernel': 'linear'}",0.76,0.76,0.7533333333333333,0.7651006711409396,0.7651006711409396,0.7607069351230425,0.004335420401287919,62
5,0.029899978637695314,0.002244237297260057,0.022099637985229494,0.0024372286770858115,0.1,rbf,0.001,,"{'model__C': 0.1, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
6,0.028799962997436524,0.001691654719145497,0.022101974487304686,0.0019858088127608425,0.1,rbf,0.0001,,"{'model__C': 0.1, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
7,0.027401828765869142,0.0016236339168541134,0.020798921585083008,0.0036965706685130545,1,rbf,0.001,,"{'model__C': 1, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
8,0.02979931831359863,0.002271917702570431,0.02190093994140625,0.0032618959661680816,1,rbf,0.0001,,"{'model__C': 1, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
9,0.03220071792602539,0.002502136675304448,0.02240157127380371,0.0026546929203900807,10,rbf,0.001,,"{'model__C': 10, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
10,0.030001115798950196,0.003479138482700176,0.02140078544616699,0.002268600458855867,10,rbf,0.0001,,"{'model__C': 10, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
11,0.03190245628356934,0.0018537285002838226,0.023098278045654296,0.0023118141061950473,100,rbf,0.001,,"{'model__C': 100, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
12,0.032999610900878905,0.0019244279111706906,0.025200796127319337,0.0024212973242059887,100,rbf,0.0001,,"{'model__C': 100, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
13,0.040300607681274414,0.005306218098451578,0.023399877548217773,0.002974992217224314,1000,rbf,0.001,,"{'model__C': 1000, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.76,0.76,0.7533333333333333,0.7651006711409396,0.7651006711409396,0.7607069351230425,0.004335420401287919,62
14,0.0376990795135498,0.003369754597453658,0.02310032844543457,0.002780629691752773,1000,rbf,0.0001,,"{'model__C': 1000, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
15,0.0381983757019043,0.009015362256392599,0.025873613357543946,0.007822272190902785,0.1,sigmoid,0.001,,"{'model__C': 0.1, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
16,0.03528594970703125,0.0015511243259658139,0.02539973258972168,0.007199586599174194,0.1,sigmoid,0.0001,,"{'model__C': 0.1, 'model__gamma': 0.0001, 'model__kernel': 'sigmoid'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
17,0.03788623809814453,0.007225880090246433,0.025799989700317383,0.00476132252608854,1,sigmoid,0.001,,"{'model__C': 1, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
18,0.037286233901977536,0.003654988850492387,0.027085018157958985,0.007574604124639372,1,sigmoid,0.0001,,"{'model__C': 1, 'model__gamma': 0.0001, 'model__kernel': 'sigmoid'}",0.76,0.76,0.76,0.7651006711409396,0.7651006711409396,0.7620402684563758,0.002498808328208341,1
