,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,8.725248670578003,0.19891152178673946,0.06550076007843017,0.010059688226321827,0.4370861069626263,0.9556428757689246,107,"{'model__max_features': 0.4370861069626263, 'model__max_samples': 0.9556428757689246, 'model__n_estimators': 107}",0.5418612360198317,0.6902627046581344,0.7530905900495791,0.9049636803874093,0.351225606768131,0.45042805257696295,0.3359978525308428,0.7350047278130489,0.7831032464316269,0.2644963753433293,0.5810434072578896,0.2103917489727615,3
1,13.192726469039917,0.27528465009108316,0.06945054531097412,0.010976496198188556,0.8017219002454924,0.6371651421518383,122,"{'model__max_features': 0.8017219002454924, 'model__max_samples': 0.6371651421518383, 'model__n_estimators': 122}",0.5774422056958376,0.6853804551481609,0.7295702179176756,0.893223761962412,0.35080133748414627,0.4750879165225412,0.3593371670702179,0.7240560133279301,0.7618704128956729,0.23703993876356433,0.5793809426788158,0.20378159120156245,11
2,1.1805489778518676,0.026777439203630043,0.05410025119781494,0.015342608916153366,0.2403950683025824,0.15227525095137953,88,"{'model__max_features': 0.2403950683025824, 'model__max_samples': 0.15227525095137953, 'model__n_estimators': 88}",0.5749740574195781,0.7164773218609477,0.7170006773895999,0.870942868672893,0.3555664850686037,0.4132725123947884,0.30248057909604525,0.7788959430861362,0.7513872754288803,0.2463379710928002,0.5727335691510274,0.21377307556405506,37
3,3.35133843421936,0.056291430115043256,0.08355002403259278,0.04474107640503197,0.4003377500251196,0.2285801361297467,131,"{'model__max_features': 0.4003377500251196, 'model__max_samples': 0.2285801361297467, 'model__n_estimators': 131}",0.522828569987317,0.7113914951573851,0.728146078346593,0.8843987806987201,0.3325595598408854,0.4631327107114032,0.3270665787501441,0.7541879418253861,0.7658994101490386,0.26781665090728984,0.5757427776374162,0.2088481409412373,27
4,11.451258730888366,0.26445234480326313,0.2594323635101318,0.028576295679503358,0.1185260448662222,0.9729188669457949,492,"{'model__max_features': 0.1185260448662222, 'model__max_samples': 0.9729188669457949, 'model__n_estimators': 492}",0.6213860544217688,0.7315969820131443,0.6872324671393981,0.8608396748529921,0.36658397469157156,0.39642244609708294,0.2637513691917445,0.7846764825070918,0.7431518753658427,0.25676347426718893,0.5712404800547827,0.21599769597797405,39
5,13.044506788253784,0.28294660804727984,0.1922088623046875,0.04583340084398118,0.9446974381141752,0.1007008892569129,444,"{'model__max_features': 0.9446974381141752, 'model__max_samples': 0.1007008892569129, 'model__n_estimators': 444}",0.5624045168915024,0.6845039922748761,0.7430090150466966,0.880276792920558,0.32446421365156236,0.4514216173757639,0.33582400121065376,0.769325948939619,0.7567049394389662,0.22888198478094465,0.5736817022531142,0.21433040756255609,32
6,0.6165627241134644,0.04063807881341275,0.04780082702636719,0.029038680370684487,0.2650640588680905,0.373818018663584,22,"{'model__max_features': 0.2650640588680905, 'model__max_samples': 0.373818018663584, 'model__n_estimators': 22}",0.6022416911679926,0.6679214588377723,0.6772526807333101,0.8409647757408047,0.34464988325838813,0.42187499999999994,0.2974451962988585,0.7631842946553197,0.7371741186005675,0.261994686838669,0.5614703786131683,0.20049191601782704,48
7,3.080158257484436,0.0558532645342768,0.21646673679351808,0.06515872263562875,0.10635967469774567,0.12075618253727419,475,"{'model__max_features': 0.10635967469774567, 'model__max_samples': 0.12075618253727419, 'model__n_estimators': 475}",0.640797049752104,0.7484911867289289,0.6611835942003921,0.8210538452669204,0.3576121656289635,0.3978555935085899,0.23142313069295511,0.8012157233553967,0.7308973839434464,0.25627178171011755,0.5646801454787815,0.21796363405156588,46
8,19.749446845054628,0.4359118633332012,0.22570738792419434,0.1142255639042119,0.6506676052501416,0.22554447458683766,476,"{'model__max_features': 0.6506676052501416, 'model__max_samples': 0.22554447458683766, 'model__n_estimators': 476}",0.56198114839156,0.6918030453706907,0.7476201285598985,0.8921500273838348,0.3315272613282601,0.4565524832814482,0.346518109362389,0.7598586158764464,0.7597361430050881,0.24995002026205593,0.5797696982821672,0.21057948454393177,9
9,32.98892996311188,0.6813039459281361,0.1672577142715454,0.014419483903380392,0.9763799669573132,0.3094942063872738,446,"{'model__max_features': 0.9763799669573132, 'model__max_samples': 0.3094942063872738, 'model__n_estimators': 446}",0.5832991035397209,0.6886097659402743,0.7413858022022368,0.8946082670356278,0.33362608814712325,0.47242429810907416,0.3633654733079673,0.73985591426899,0.7563186095726957,0.22012877662209016,0.57936220987458,0.21028058718697235,12
10,3.261174035072327,0.04987299833125268,0.04180576801300049,0.00797376968931102,0.8066583652537123,0.2797064039425238,55,"{'model__max_features': 0.8066583652537123, 'model__max_samples': 0.2797064039425238, 'model__n_estimators': 55}",0.6053043569122565,0.6689636659748643,0.7414704759022253,0.8888099201545024,0.3240606624005534,0.4566551726622852,0.35080313905223104,0.7186239812688551,0.7451006348777522,0.24863613850240895,0.5748428147707935,0.20475646233466052,30
11,53.30637555122375,0.951348378116203,0.21955316066741942,0.04772967534329105,0.9849077972261093,0.520086603923182,485,"{'model__max_features': 0.9849077972261093, 'model__max_samples': 0.520086603923182, 'model__n_estimators': 485}",0.5444735097428802,0.6823195909719821,0.7298611711633806,0.8965638691917446,0.3309840885506745,0.47229548599100657,0.3655642871555402,0.7237417263271647,0.7631842946553199,0.22081588545184389,0.5729803909201537,0.20898157676360357,35
