,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.16679885387420654,0.002685827386245168,0.01630110740661621,0.0005999877683089361,25,25,45,"OrderedDict([('model__max_depth', 25), ('model__min_samples_leaf', 25), ('model__min_samples_split', 45)])",0.5896838608324685,0.6842373601983166,0.6889277427072524,0.7666419851839041,0.38791454081632654,0.43917635910296327,0.34527953130404704,0.6678742851996937,0.6726309153946599,0.2903336485208699,0.5532700229260503,0.16203257789662925,28
1,0.17184817790985107,0.002684303180895047,0.016799426078796385,0.0008987147239685197,27,22,29,"OrderedDict([('model__max_depth', 27), ('model__min_samples_leaf', 22), ('model__min_samples_split', 29)])",0.6426346491986625,0.6658118226104002,0.6754826400899343,0.7509404185402975,0.37455771503516666,0.4487760146431454,0.3327334111610746,0.6569156648205683,0.7014138412355352,0.3023467963438246,0.5551612973678609,0.1617931990301809,26
2,0.18649752140045167,0.004148752676572068,0.015450406074523925,0.0016040868057725615,17,10,42,"OrderedDict([('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 42)])",0.6666342384411392,0.6479916118989968,0.6703121396863831,0.749954060013836,0.36300786204312235,0.5083637798339675,0.3828512337138245,0.6611679949569994,0.6728461434553559,0.28898554640010804,0.5612114610443732,0.15382521174202815,11
3,0.161348557472229,0.00704742448888785,0.015950560569763184,0.0011707436733258342,22,30,20,"OrderedDict([('model__max_depth', 22), ('model__min_samples_leaf', 30), ('model__min_samples_split', 20)])",0.5784763057765477,0.6686790182174565,0.688594452611553,0.7638765781736423,0.3534073057188977,0.438090013547792,0.3104074786694339,0.6694781394929983,0.6277554144716107,0.30286010176054745,0.5401624808440479,0.16396817462495736,42
4,0.13869860172271728,0.002986547025438819,0.01580185890197754,0.0008708764154370688,20,57,54,"OrderedDict([('model__max_depth', 20), ('model__min_samples_leaf', 57), ('model__min_samples_split', 54)])",0.6285409820707945,0.6089570362043122,0.6388837844459817,0.6834104404473653,0.35984520927014874,0.5127442926323071,0.31105334082785663,0.6804808861272456,0.668549687063803,0.21782970867666263,0.5310295367766477,0.16364694817660744,43
5,0.10709958076477051,0.004914122563708825,0.014000153541564942,0.0010503254505714052,6,5,32,"OrderedDict([('model__max_depth', 6), ('model__min_samples_leaf', 5), ('model__min_samples_split', 32)])",0.44970202063876397,0.6901906419347401,0.7198354447711288,0.7162827525077827,0.3307327698028364,0.5473893476882278,0.2586394197509513,0.6464676482507091,0.5714440091854653,0.17943806564906117,0.5110122120179668,0.18736717376868417,47
6,0.1659982442855835,0.0019497134247979135,0.01625094413757324,0.0008738679277071621,25,27,33,"OrderedDict([('model__max_depth', 25), ('model__min_samples_leaf', 27), ('model__min_samples_split', 33)])",0.5708133359275913,0.6662000605326878,0.6952071082670355,0.7741581272339444,0.36020552288712093,0.45275748011068834,0.31640489882393635,0.6765176279886532,0.6579999099464181,0.2942635868341663,0.5464527658552242,0.16681076610501663,32
7,0.20154852867126466,0.005459868928945941,0.01574971675872803,0.0012088184306584492,30,7,38,"OrderedDict([('model__max_depth', 30), ('model__min_samples_leaf', 7), ('model__min_samples_split', 38)])",0.5648735659518044,0.6187990026519082,0.6606377190706791,0.7377745589761329,0.3491042603482071,0.4751266502363657,0.4126113369076445,0.6538493403575127,0.6661974875050656,0.3295069566392003,0.546848087864452,0.1378766315717869,31
8,0.2224468469619751,0.003328719697970478,0.016702103614807128,0.0008711079239256978,28,2,29,"OrderedDict([('model__max_depth', 28), ('model__min_samples_leaf', 2), ('model__min_samples_split', 29)])",0.5199145336100541,0.608169750951228,0.6515515104346823,0.7207245186210077,0.36513281159921596,0.488498789346247,0.41326350455436406,0.639870322842091,0.6444108244405421,0.3514494124003782,0.540298597879981,0.12484983527979038,41
9,0.14409749507904052,0.004516668493955057,0.015949440002441407,0.0009606216568841275,23,48,9,"OrderedDict([('model__max_depth', 23), ('model__min_samples_leaf', 48), ('model__min_samples_split', 9)])",0.5988205133748414,0.6454090640493485,0.6706580407586763,0.7210542055805373,0.37557019629885857,0.49216137726276954,0.32934736394557823,0.6640190913593589,0.679482191904183,0.24729343959655992,0.5423815484130713,0.1608041446769248,37
10,0.17759785652160645,0.006102819258855166,0.015850234031677245,0.0023243619669997325,21,15,60,"OrderedDict([('model__max_depth', 21), ('model__min_samples_leaf', 15), ('model__min_samples_split', 60)])",0.6771716101694916,0.648054666781967,0.7045419332987432,0.7472931439524961,0.38062990026519083,0.45886839905453713,0.3386812881932434,0.670198568148048,0.6769597910756899,0.2661623666081318,0.556856166754754,0.16760135544874244,23
11,0.21034908294677734,0.018250858309183462,0.013549208641052246,0.001191563036703767,19,2,60,"OrderedDict([('model__max_depth', 19), ('model__min_samples_leaf', 2), ('model__min_samples_split', 60)])",0.5287989666205466,0.6276140752911334,0.6755583059494984,0.730238599677159,0.3491934379684077,0.47574729044160036,0.37783837051769864,0.6812040163897519,0.6707145751722274,0.3066396505921023,0.5423547288620126,0.1485351463243204,38
