,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10541043281555176,0.009913931523301747,0.02495076656341553,0.0057857882072367035,0.0745934328572655,0.9507143064099162,"{'model__C': 0.0745934328572655, 'model__l1_ratio': 0.9507143064099162}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
1,0.6141507863998413,0.0330002298108731,0.02554807662963867,0.0037111390691871478,4.5705630998014515,0.5986584841970366,"{'model__C': 4.5705630998014515, 'model__l1_ratio': 0.5986584841970366}",0.5547640666436066,0.5440014989046466,0.40851637265075524,0.5099554652369422,0.44751311541565786,0.5471524414850686,0.15257660267496828,0.5248394794902967,0.6701103156378045,0.2521626367688775,0.4611591994908625,0.14662081811996946,28
2,0.09049980640411377,0.01777460630301462,0.020250320434570312,0.0041849196101120326,0.006026889128682512,0.15599452033620265,"{'model__C': 0.006026889128682512, 'model__l1_ratio': 0.15599452033620265}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
3,0.07384364604949951,0.0073573853896164235,0.025049972534179687,0.004901563711509961,0.0019517224641449498,0.8661761457749352,"{'model__C': 0.0019517224641449498, 'model__l1_ratio': 0.8661761457749352}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
4,0.5680369853973388,0.042794326827018565,0.020265483856201173,0.004480868182948961,1.0129197956845732,0.7080725777960455,"{'model__C': 1.0129197956845732, 'model__l1_ratio': 0.7080725777960455}",0.5960974432145739,0.5400002161881702,0.3715085610515392,0.495202424190015,0.4479472933241093,0.6384270869364695,0.12504323763403669,0.528789229591607,0.6547453734972308,0.23630420099959482,0.4634065066627347,0.16454528435711516,24
5,0.06543307304382324,0.015610995696572759,0.023382902145385742,0.009573917531273969,0.001267425589893723,0.9699098521619943,"{'model__C': 0.001267425589893723, 'model__l1_ratio': 0.9699098521619943}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
6,0.60774827003479,0.01363387007711363,0.022949767112731934,0.006235190150833288,14.528246637516036,0.21233911067827616,"{'model__C': 14.528246637516036, 'model__l1_ratio': 0.21233911067827616}",0.5404452035051308,0.5458607171682233,0.41991489392367115,0.5146485500980053,0.4447080739075291,0.5048858526461433,0.16122953418655597,0.5091179251654735,0.6702057724345986,0.260460173803413,0.4571476696838744,0.14010102390203577,37
7,0.08820021152496338,0.009113806147283564,0.019699907302856444,0.004723697083982953,0.008111941985431923,0.18340450985343382,"{'model__C': 0.008111941985431923, 'model__l1_ratio': 0.18340450985343382}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
8,0.10968420505523682,0.014992543265003813,0.019989323616027833,0.00325104117943365,0.033205591037519584,0.5247564316322378,"{'model__C': 0.033205591037519584, 'model__l1_ratio': 0.5247564316322378}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
9,0.1374119758605957,0.011077677485495525,0.017450547218322753,0.002004650199410145,0.14445251022763064,0.2912291401980419,"{'model__C': 0.14445251022763064, 'model__l1_ratio': 0.2912291401980419}",0.6143977718205926,0.5381914418309697,0.31110558630231755,0.4883888936930705,0.38675883488988816,0.6160984520927014,0.09231234866828086,0.512203160880724,0.5970300328695574,0.26843171687153855,0.4424918239919641,0.16522369622187857,48
10,0.38797788619995116,0.07688610184535127,0.017300629615783693,0.001734676874120204,1.1462107403425035,0.13949386065204183,"{'model__C': 1.1462107403425035, 'model__l1_ratio': 0.13949386065204183}",0.6119368298166724,0.5433565375302664,0.3325874841462009,0.48828260117606365,0.47515277297359626,0.6373353366770437,0.11139275625504438,0.5294448196677023,0.6416425773335135,0.22771489035976406,0.4598846605935868,0.17089302323140332,31
11,0.09549248218536377,0.009246787558023174,0.01644277572631836,0.0014197620515267653,0.028888383623653185,0.3663618432936917,"{'model__C': 0.028888383623653185, 'model__l1_ratio': 0.3663618432936917}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
12,0.1969045877456665,0.058937232567346155,0.017500019073486327,0.0014142381520916272,0.19069966103000435,0.7851759613930136,"{'model__C': 0.19069966103000435, 'model__l1_ratio': 0.7851759613930136}",0.5467551957223568,0.5329668943848727,0.4236378343710365,0.49916947711287907,0.31596351464314537,0.5143269701948575,0.0951336042891733,0.4833454905668873,0.49590526363186094,0.36027466342473774,0.4267478908341807,0.13162629570591727,50
13,0.08235011100769044,0.008276679977814522,0.019550037384033204,0.0032440535452428992,0.009962513222055111,0.5142344384136116,"{'model__C': 0.009962513222055111, 'model__l1_ratio': 0.5142344384136116}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1
14,0.33534576892852785,0.07648101286768098,0.015950870513916016,0.0012740146793440437,0.9163741808778786,0.046450412719997725,"{'model__C': 0.9163741808778786, 'model__l1_ratio': 0.046450412719997725}",0.6190890551135708,0.5438321515046697,0.3235075809985011,0.4850415801913986,0.4801935604750375,0.6417617894615473,0.10829586071716822,0.531541267053897,0.6371038768066999,0.22515196541942456,0.4595518687741915,0.1733121100932758,33
