,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.13639910221099855,0.006045695014338438,0.020100951194763184,0.0031205481849291704,7,52,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 52, 'model__min_samples_split': 30}",0.5998429032630002,0.5713159734232676,0.6860380274991351,0.6509614968868902,0.35144719964256893,0.5743975556324225,0.369729512567739,0.6247935521635375,0.5791201765050206,0.18207573506236213,0.5189722132645944,0.15373264056656594,44
1,0.16904959678649903,0.00922864362861018,0.027800917625427246,0.00808329819343896,15,43,9,"{'model__max_depth': 15, 'model__min_samples_leaf': 43, 'model__min_samples_split': 9}",0.6617249654098927,0.6786885304969446,0.681535008071025,0.7237304349705984,0.3739064481724893,0.4771822394211922,0.30618730543064687,0.6898122382817777,0.6448412805619343,0.24054392363456253,0.5478152374451063,0.17220353807108582,12
2,0.19559953212738038,0.012294967733767884,0.018201875686645507,0.0013264600743178323,29,21,40,"{'model__max_depth': 29, 'model__min_samples_leaf': 21, 'model__min_samples_split': 40}",0.6535476478727085,0.6704076227948808,0.6651893808370806,0.7328346592874437,0.37042762020062264,0.4363938371958954,0.33966314279949267,0.6594191543968662,0.6833941195011032,0.29806204691791616,0.550933923180401,0.15954371280525684,9
3,0.1889981746673584,0.004874303869099991,0.020200610160827637,0.005980801647726109,26,19,24,"{'model__max_depth': 26, 'model__min_samples_leaf': 19, 'model__min_samples_split': 24}",0.6433120387985702,0.6735306410699873,0.6976500345901073,0.7686101983166147,0.3712869681771014,0.43340323417502596,0.33241002968984207,0.6511540366518078,0.6691089198072853,0.31426358683416633,0.5554729688110509,0.1631341940363785,2
4,0.17344837188720702,0.0069425425187645525,0.021201419830322265,0.006258289607228141,11,11,25,"{'model__max_depth': 11, 'model__min_samples_leaf': 11, 'model__min_samples_split': 25}",0.6788407630001152,0.6430778349475383,0.6849534835120488,0.744378206791191,0.3632970137207425,0.48998688458434214,0.38014617923440563,0.6755180332297718,0.6099076950785718,0.17278940969877077,0.5442895503797498,0.17603241200834865,17
5,0.1696000576019287,0.009431108942600562,0.017551589012145995,0.002262377811816646,21,36,41,"{'model__max_depth': 21, 'model__min_samples_leaf': 36, 'model__min_samples_split': 41}",0.6260602228179408,0.679407356162804,0.6763275755217342,0.7596437939582612,0.3609603799146777,0.4639947610400092,0.29401591144932543,0.6766319960376425,0.6252564275744068,0.2506911612409384,0.541298958571774,0.17367476003724402,22
6,0.23469915390014648,0.008462384125022893,0.017850685119628906,0.0021109029203880436,24,3,23,"{'model__max_depth': 24, 'model__min_samples_leaf': 3, 'model__min_samples_split': 23}",0.504837210307852,0.6251279113340251,0.6551600513086591,0.7279037674391791,0.3656678773204197,0.4878484232676121,0.41020173959414274,0.6367139447971544,0.6147669863568824,0.33870412895672924,0.5366932040682657,0.12742302724906204,31
7,0.23244850635528563,0.004874944607657768,0.018701505661010743,0.0029167056917561007,21,2,25,"{'model__max_depth': 21, 'model__min_samples_leaf': 2, 'model__min_samples_split': 25}",0.5179229000922403,0.6100523895999077,0.652113599677159,0.7156657154387178,0.3849698777816212,0.49127410498097546,0.41691978698258964,0.6570705569814039,0.6450619118375434,0.34703228420910437,0.5438083127581262,0.1233754256028475,18
8,0.1640995979309082,0.008378267352797657,0.021750116348266603,0.0029844401182971356,12,30,39,"{'model__max_depth': 12, 'model__min_samples_leaf': 30, 'model__min_samples_split': 39}",0.5749389268419233,0.6683916681079212,0.6911896114377954,0.7709909705407588,0.3488232157269688,0.434796747088666,0.31412141127637494,0.6768634337430771,0.6321023008690171,0.23368724391012652,0.5345905529542629,0.17700480697699525,32
9,0.06045012474060059,0.0063707126010610305,0.02180044651031494,0.002561455316866954,2,60,22,"{'model__max_depth': 2, 'model__min_samples_leaf': 60, 'model__min_samples_split': 22}",0.3498140781736424,0.6732279776317307,0.5756343321226796,0.5717726709327798,0.44884627579845504,0.6331827222414389,0.4338968638302778,0.6226745913818722,0.5428528974739971,0.41566121842496284,0.5267563628011837,0.10246902176715865,40
10,0.049749445915222165,0.0028493867437594704,0.02379927635192871,0.0032336221545818476,1,12,59,"{'model__max_depth': 1, 'model__min_samples_leaf': 12, 'model__min_samples_split': 59}",0.2972911622276029,0.5186011904761905,0.4307783494753834,0.49003732849071835,0.33175696125907994,0.4993946731234867,0.25786924939467315,0.48287631140528614,0.45814579674906564,0.29271106308253414,0.40594620856840213,0.09477008884657323,49
11,0.16544885635375978,0.007578665702720617,0.02280128002166748,0.00767280166972686,22,44,26,"{'model__max_depth': 22, 'model__min_samples_leaf': 44, 'model__min_samples_split': 26}",0.5755865905684308,0.6784047835235789,0.6877107834659288,0.7166601810215611,0.35647627695145856,0.477198453533956,0.30877255563242245,0.6862362105452745,0.6474654419379531,0.24252960511504343,0.5377040882295608,0.1690888763461588,27
12,0.18424851894378663,0.023548607291088184,0.01780109405517578,0.0018726836307656584,17,27,60,"{'model__max_depth': 17, 'model__min_samples_leaf': 27, 'model__min_samples_split': 60}",0.5706593018563357,0.666642345497521,0.6938469243629656,0.7736464818978439,0.37205173382912493,0.4449927216649372,0.318218177101349,0.6776225854383358,0.6491557476698635,0.29373857445179885,0.5460574593770076,0.1651637750723181,13
