,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.020400142669677733,0.000859749397748391,0.0162994384765625,0.0005098746487490872,0,1,1,0.1,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 1, 'model__subsample': 0.1}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
1,0.0240018367767334,0.0008941233555253351,0.016900014877319337,0.0010199221159527753,0,1,1,0.3,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 1, 'model__subsample': 0.3}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
2,0.0212003231048584,0.0026566354029010034,0.015700674057006835,0.0014683683421593307,0,1,1,0.5,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 1, 'model__subsample': 0.5}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
3,0.023700237274169922,0.0028210295860173072,0.019699954986572267,0.001939120920165334,0,1,1,0.7,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 1, 'model__subsample': 0.7}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
4,0.025099515914916992,0.0008606256449551624,0.018899202346801758,0.003057007457882856,0,1,1,0.9,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 1, 'model__subsample': 0.9}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
5,0.027100753784179688,0.0007997815454844689,0.019900703430175783,0.003426850972333741,0,1,1,1,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 1, 'model__subsample': 1}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
6,0.11379961967468262,0.0034431285955989345,0.015500307083129883,0.0013043314407789877,0,1,100,0.1,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 100, 'model__subsample': 0.1}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
7,0.11819982528686523,0.0034289580394709,0.01599993705749512,0.000835715999243144,0,1,100,0.3,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 100, 'model__subsample': 0.3}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
8,0.1212989330291748,0.00471777826914198,0.016800403594970703,0.0012083277609930532,0,1,100,0.5,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
9,0.13500018119812013,0.011768154522075806,0.016000843048095702,0.002025335041663092,0,1,100,0.7,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
10,0.12960071563720704,0.006806511017709722,0.016699743270874024,0.002111797262908463,0,1,100,0.9,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 100, 'model__subsample': 0.9}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
11,0.11430058479309083,0.012664063272218357,0.017900466918945312,0.0028713735467537924,0,1,100,1,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 100, 'model__subsample': 1}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
12,0.8951874732971191,0.02443627344206692,0.017999887466430664,0.002024687184071531,0,1,1000,0.1,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 1000, 'model__subsample': 0.1}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
13,0.9300130367279053,0.010965942601421802,0.01889958381652832,0.0018269907387142611,0,1,1000,0.3,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 1000, 'model__subsample': 0.3}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
14,0.9569604873657227,0.009679753629241918,0.019823360443115234,0.007219785097037674,0,1,1000,0.5,"{'model__learning_rate': 0, 'model__max_depth': 1, 'model__n_estimators': 1000, 'model__subsample': 0.5}",0.6528925619834711,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6572451790633609,0.0021763085399448823,964
